,dataset_name,problem_class,fold,test_score,beta
0,breast-cancer-wisconsin,classification,1,0.6524822695035462,0.0
1,breast-cancer-wisconsin,classification,2,0.6546762589928058,0.0
2,breast-cancer-wisconsin,classification,3,0.6546762589928058,0.0
3,breast-cancer-wisconsin,classification,4,0.6546762589928058,0.0
4,breast-cancer-wisconsin,classification,5,0.6595744680851063,0.0
5,car,classification,1,0.6982758620689655,-0.5601871863867572
6,car,classification,2,0.7034883720930233,-0.5601871863867572
7,car,classification,3,0.7034883720930233,-0.5601871863867572
8,car,classification,4,0.7034883720930233,-0.5601871863867572
9,car,classification,5,0.6925287356321839,-0.5601871863867572
10,house-votes-84,classification,1,0.6136363636363636,0.0
11,house-votes-84,classification,2,0.6162790697674418,0.0
12,house-votes-84,classification,3,0.6162790697674418,0.0
13,house-votes-84,classification,4,0.6162790697674418,0.0
14,house-votes-84,classification,5,0.6067415730337079,0.0
15,abalone,regression,1,0.33939820586855013,-0.004032641770932512
16,abalone,regression,2,0.08221370293298497,-0.001983550041757579
17,abalone,regression,3,5.05684304137225,0.015556771827042615
18,abalone,regression,4,4.288834992627285,-0.014326739504987347
19,abalone,regression,5,0.4781492600798221,0.0047865610310758415
20,machine,regression,1,0.7720044347449451,-0.02724511160720418
21,machine,regression,2,0.4419567845661083,0.02036737676376014
22,machine,regression,3,0.4605089498441287,0.020790466834904504
23,machine,regression,4,5.746613839139676,-0.07344323082906803
24,machine,regression,5,3.627429196296463,0.060447643288548694
25,forestfires,regression,1,0.5339587416884206,0.014413799159228802
26,forestfires,regression,2,0.0003944151447770374,-0.0003898984577972442
27,forestfires,regression,3,0.13567177025351151,-0.0072306133806705475
28,forestfires,regression,4,0.01652374166487626,-0.002523419912904501
29,forestfires,regression,5,0.04632329954670984,-0.004245533510397791
